pro_id;pro_nama;dapil_id;dapil_kode;dapil_nama;URUTAN_SUARA_PARTAI;partai_id;PARTAI POLITIK;Urutan1;id;nama;nomor_urut;jenis_kelamin;tempat_tinggal;Suara;% SUARA;URUTAN SUARA;KURSI KE 1;KURSI KE 2;KURSI KE 3;KURSI KE 4;KURSI KE 5;URUTAN KURSI;TOTAL;JUMLAH KURSI;;PROVINSI;DAPIL DPRRI;;;;;;
11;ACEH;5001;1101;ACEH I;1;1;PARTAI KEBANGKITAN BANGSA;1;999999;SUARA PARTAI;;;;20067;0,062702909;;;;;;;0;0;0;;ACEH;ACEH I;7;1;ACEH;ACEH I;7;1
11;ACEH;5001;1101;ACEH I;1;1;PARTAI KEBANGKITAN BANGSA;2;100121;H. IRMAWAN S.Sos. M.M.;1;L;KOTA BANDA ACEH;125234;0,391315896;1;1;;;;;1;1;1;;ACEH;ACEH II;6;1;ACEH;ACEH II;6;1
11;ACEH;5001;1101;ACEH I;1;1;PARTAI KEBANGKITAN BANGSA;2;100125;Tgk. MUJLISAL S.Ag.;5;L;PIDIE JAYA;94227;0,294429012;2;;;;;;0;0;0;;SUMATERA UTARA;SUMATERA UTARA I;0;0;SUMATERA UTARA;SUMATERA UTARA I;10;1
11;ACEH;5001;1101;ACEH I;1;1;PARTAI KEBANGKITAN BANGSA;2;100122;M. RAMADHANA RUSLI BINTANG;2;L;ACEH BESAR;55775;0,174278902;3;;;;;;0;0;0;;SUMATERA UTARA;SUMATERA UTARA II;0;0;SUMATERA UTARA;SUMATERA UTARA II;10;1
11;ACEH;5001;1101;ACEH I;1;1;PARTAI KEBANGKITAN BANGSA;2;100127;Tgk. H. SYARIFUDDIN M.A.;7;L;KOTA SUBULUSSALAM;15825;0,049448026;4;;;;;;0;0;0;;SUMATERA UTARA;SUMATERA UTARA III;0;0;SUMATERA UTARA;SUMATERA UTARA III;10;1
11;ACEH;5001;1101;ACEH I;1;1;PARTAI KEBANGKITAN BANGSA;2;100124;TEUKU HAMZAH HUSEN S.E. M.M.;4;L;KOTA BATAM;5654;0,017666928;5;;;;;;0;0;0;;SUMATERA BARAT;SUMATERA BARAT I;0;0;SUMATERA BARAT;SUMATERA BARAT I;8;0
11;ACEH;5001;1101;ACEH I;1;1;PARTAI KEBANGKITAN BANGSA;2;100123;MAHDALENA S.Hut.;3;P;ACEH BESAR;2313;0,00722738;6;;;;;;0;0;0;;SUMATERA BARAT;SUMATERA BARAT II;0;0;SUMATERA BARAT;SUMATERA BARAT II;6;0
11;ACEH;5001;1101;ACEH I;1;1;PARTAI KEBANGKITAN BANGSA;2;100126;drh. HASNIDAR;6;P;ACEH BESAR;938;0,002930948;7;;;;;;0;0;0;;RIAU;RIAU I;7;1;RIAU;RIAU I;7;0
11;ACEH;5001;1101;ACEH I;1;1;PARTAI KEBANGKITAN BANGSA;3;333333;TOTAL SUARA PARTAI;;;;320033;0,194075957;;;;;;;;;1;;RIAU;RIAU II;6;1;RIAU;RIAU II;6;1
11;ACEH;5001;1101;ACEH I;2;4;PARTAI GOLONGAN KARYA;1;999999;SUARA PARTAI;;;;13238;0,051301527;;;;;;;0;0;0;;JAMBI;JAMBI;8;1;JAMBI;JAMBI;8;0
11;ACEH;5001;1101;ACEH I;2;4;PARTAI GOLONGAN KARYA;2;102644;Drs. H. T. ZULKARNAINI AMPON BANG;4;L;NAGAN RAYA;91816;0,355816666;1;2;;;;;2;1;1;;SUMATERA SELATAN;SUMATERA SELATAN I;0;0;SUMATERA SELATAN;SUMATERA SELATAN I;8;1
11;ACEH;5001;1101;ACEH I;2;4;PARTAI GOLONGAN KARYA;2;102642;H. M. SALIM FAKHRY S.E. M.M.;2;L;ACEH TENGGARA;86697;0,335978887;2;;;;;;0;0;0;;SUMATERA SELATAN;SUMATERA SELATAN II;0;0;SUMATERA SELATAN;SUMATERA SELATAN II;9;1
11;ACEH;5001;1101;ACEH I;2;4;PARTAI GOLONGAN KARYA;2;102641;H. T. M. NURLIF;1;L;KOTA ADM. JAKARTA SELATAN;59221;0,22950051;3;;;;;;0;0;0;;BENGKULU;BENGKULU;4;1;BENGKULU;BENGKULU;4;1
11;ACEH;5001;1101;ACEH I;2;4;PARTAI GOLONGAN KARYA;2;102643;Hj. SAMSIAR S.E.;3;P;ACEH TENGGARA;3654;0,014160431;4;;;;;;0;0;0;;LAMPUNG;LAMPUNG I;10;1;LAMPUNG;LAMPUNG I;10;0
11;ACEH;5001;1101;ACEH I;2;4;PARTAI GOLONGAN KARYA;2;102645;Dr. H. M. SALEH.P S.Pd.I. M.Si.;5;L;ACEH BESAR;1639;0,006351655;5;;;;;;0;0;0;;LAMPUNG;LAMPUNG II;10;1;LAMPUNG;LAMPUNG II;10;0
11;ACEH;5001;1101;ACEH I;2;4;PARTAI GOLONGAN KARYA;2;102647;T. M. ALI TAR;7;L;ACEH BESAR;1174;0,004549629;6;;;;;;0;0;0;;KEPULAUAN BANGKA BELITUNG;KEPULAUAN BANGKA BELITUNG;3;1;KEPULAUAN BANGKA BELITUNG;KEPULAUAN BANGKA BELITUNG;3;0
11;ACEH;5001;1101;ACEH I;2;4;PARTAI GOLONGAN KARYA;2;102646;NENI RUMIANTI DAULAY S.E.;6;P;KOTA BANDA ACEH;604;0,002340695;7;;;;;;0;0;0;;KEPULAUAN RIAU;KEPULAUAN RIAU;4;1;KEPULAUAN RIAU;KEPULAUAN RIAU;4;0
11;ACEH;5001;1101;ACEH I;2;4;PARTAI GOLONGAN KARYA;3;333333;TOTAL SUARA PARTAI;;;;258043;0,156483682;;;;;;;;;1;;DKI JAKARTA;DKI JAKARTA I;6;1;DKI JAKARTA;DKI JAKARTA I;6;1
11;ACEH;5001;1101;ACEH I;3;12;PARTAI AMANAT NASIONAL;1;999999;SUARA PARTAI;;;;10187;0,054808008;;;;;;;0;0;0;;DKI JAKARTA;DKI JAKARTA II;7;1;DKI JAKARTA;DKI JAKARTA II;7;0
11;ACEH;5001;1101;ACEH I;3;12;PARTAI AMANAT NASIONAL;2;109361;H. NAZARUDDIN DEK GAM;1;L;KOTA BANDA ACEH;140614;0,756530207;1;3;;;;;3;1;1;;DKI JAKARTA;DKI JAKARTA III;8;1;DKI JAKARTA;DKI JAKARTA III;8;1
11;ACEH;5001;1101;ACEH I;3;12;PARTAI AMANAT NASIONAL;2;109365;MUCHLIS ZULKIFLI S.T. M.H.;5;L;ACEH BESAR;24532;0,131986851;2;;;;;;0;0;0;;JAWA BARAT;JAWA BARAT I;7;1;JAWA BARAT;JAWA BARAT I;7;1
11;ACEH;5001;1101;ACEH I;3;12;PARTAI AMANAT NASIONAL;2;109362;MOHD. ALFATAH S.Ag.;2;L;NAGAN RAYA;6093;0,032781505;3;;;;;;0;0;0;;JAWA BARAT;JAWA BARAT II;10;1;JAWA BARAT;JAWA BARAT II;10;0
11;ACEH;5001;1101;ACEH I;3;12;PARTAI AMANAT NASIONAL;2;109363;Ir. Hj. FERRY SORAYA M.S.I.E.;3;P;KOTA ADM. JAKARTA SELATAN;1677;0,009022581;4;;;;;;0;0;0;;JAWA BARAT;JAWA BARAT III;9;1;JAWA BARAT;JAWA BARAT III;9;0
11;ACEH;5001;1101;ACEH I;3;12;PARTAI AMANAT NASIONAL;2;109364;DEWI MARLINA;4;P;KOTA BANDA ACEH;1409;0,007580689;5;;;;;;0;0;0;;JAWA BARAT;JAWA BARAT IV;6;1;JAWA BARAT;JAWA BARAT IV;6;0
11;ACEH;5001;1101;ACEH I;3;12;PARTAI AMANAT NASIONAL;2;109367;ZULFITRI ARIFIN;7;L;KOTA ADM. JAKARTA PUSAT;1069;0,005751424;6;;;;;;0;0;0;;JAWA BARAT;JAWA BARAT V;9;1;JAWA BARAT;JAWA BARAT V;9;0
11;ACEH;5001;1101;ACEH I;3;12;PARTAI AMANAT NASIONAL;2;109366;GITA ISNA YUNITA S.E.;6;P;KOTA ADM. JAKARTA SELATAN;286;0,001538735;7;;;;;;0;0;0;;JAWA BARAT;JAWA BARAT VI;6;1;JAWA BARAT;JAWA BARAT VI;6;0
11;ACEH;5001;1101;ACEH I;3;12;PARTAI AMANAT NASIONAL;3;333333;TOTAL SUARA PARTAI;;;;185867;0,112714364;;;;;;;;;1;;JAWA BARAT;JAWA BARAT VII;10;1;JAWA BARAT;JAWA BARAT VII;10;1
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;1;999999;SUARA PARTAI;;;;18170;0,1143724;;;;;;;0;0;0;;JAWA BARAT;JAWA BARAT VIII;9;1;JAWA BARAT;JAWA BARAT VIII;9;1
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103482;H. MUSLIM AYUB S.H. M.M.;2;L;KOTA BANDA ACEH;73995;0,465766962;1;4;;;;;4;1;1;;JAWA BARAT;JAWA BARAT IX;8;1;JAWA BARAT;JAWA BARAT IX;8;1
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103481;Dr. TEUKU TAUFIQULHADI M.Si.;1;L;KOTA BANDA ACEH;34675;0,218264334;2;;;;;;0;0;0;;JAWA BARAT;JAWA BARAT X;7;1;JAWA BARAT;JAWA BARAT X;7;1
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103484;TEUNGKU RAZUAN S.H.;4;L;ACEH BESAR;19193;0,120811748;3;;;;;;0;0;0;;JAWA BARAT;JAWA BARAT XI;10;1;JAWA BARAT;JAWA BARAT XI;10;1
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103485;T. ISKANDAR DAOD S.E. M.Si.;5;L;ACEH BARAT;5077;0,031957549;4;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH I;8;1;JAWA TENGAH;JAWA TENGAH I;8;0
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103487;SUPRIJAL YUSUF S.H.;7;L;KOTA BANDA ACEH;4041;0,025436371;5;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH II;7;1;JAWA TENGAH;JAWA TENGAH II;7;0
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103483;Dra. Hj. MEDIATI HAFNI HANUM S.H. M.Kn. CPM.;3;P;KOTA BANDA ACEH;2103;0,013237488;6;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH III;9;1;JAWA TENGAH;JAWA TENGAH III;9;0
11;ACEH;5001;1101;ACEH I;4;5;PARTAI NASDEM;2;103486;CUT SRI MAINITA;6;P;KOTA BANDA ACEH;1613;0,010153147;7;;;;;;0;0;0;;JAWA TENGAH;JAWA TENGAH IV;7;1;JAWA TENGAH;JAWA TENGAH IV;7;0
